date,holiday
01-08-22,
02-08-22,
03-08-22,
04-08-22,
05-08-22,
06-08-22,
07-08-22,
08-08-22,
09-08-22,
10-08-22,
11-08-22,
12-08-22,
13-08-22,
14-08-22,
15-08-22,
16-08-22,
17-08-22,
18-08-22,
19-08-22,
20-08-22,
21-08-22,
22-08-22,
23-08-22,
24-08-22,
25-08-22,
26-08-22,
27-08-22,
28-08-22,
29-08-22,
30-08-22,
31-08-22,Merdeka Day
01-09-22,
02-09-22,
03-09-22,
04-09-22,
05-09-22,
06-09-22,
07-09-22,
08-09-22,
09-09-22,
10-09-22,
11-09-22,
12-09-22,
13-09-22,
14-09-22,
15-09-22,
16-09-22,Malaysia Day
17-09-22,
18-09-22,
19-09-22,
20-09-22,
21-09-22,
22-09-22,
23-09-22,
24-09-22,
25-09-22,
26-09-22,
27-09-22,
28-09-22,
29-09-22,
30-09-22,
01-10-22,
02-10-22,
03-10-22,
04-10-22,
05-10-22,
06-10-22,
07-10-22,
08-10-22,
09-10-22,Prophet Muhammad's Birthday
10-10-22,Prophet Muhammad's Birthday
11-10-22,
12-10-22,
13-10-22,
14-10-22,
15-10-22,
16-10-22,
17-10-22,
18-10-22,
19-10-22,
20-10-22,
21-10-22,
22-10-22,
23-10-22,
24-10-22,Deepavali
25-10-22,
26-10-22,
27-10-22,
28-10-22,
29-10-22,
30-10-22,
31-10-22,
01-11-22,
02-11-22,
03-11-22,
04-11-22,
05-11-22,
06-11-22,
07-11-22,
08-11-22,
09-11-22,
10-11-22,
11-11-22,
12-11-22,
13-11-22,
14-11-22,
15-11-22,
16-11-22,
17-11-22,
18-11-22,15th General Election
19-11-22,15th General Election
20-11-22,15th General Election
21-11-22,
22-11-22,
23-11-22,
24-11-22,
25-11-22,
26-11-22,
27-11-22,
28-11-22,Special Public Holiday
29-11-22,
30-11-22,
